Bond pair type,Mode percentual bond length change distribution (ModeRBC) (%),Maximum of the percentual bond length change distribution (MaxRBC) (%),Minimum of the percentual bond length change distribution (MinRBC) (%)
C0-C1,-1.14,5.54,-5.87
C1-C2,0.69,6.2,-5.65
C1-H15,0.57,7.62,-4.86
C1-O119,-0.13,7.64,-6.61
C2-C3,1.02,8.88,-5.81
C3-C4,-1.39,6.72,-7.39
C3-H18,0.22,8.86,-4.54
C3-O120,-1.48,9.56,-7.83
C4-C5,1.14,8.93,-6.49
C4-H20,0.36,8.77,-6.67
C5-C6,1.29,8.7,-5.69
C5-H21,2.81,9.9,-3.87
C6-H24,0.39,6.63,-4.04
